"","X","grp.recording","group","great.call","recording","Delta.Time..s..1","BW.90...Hz..1","Freq.5...Hz..1","Freq.95...Hz..1","Begin.Time..s..1","End.Time..s..1","Delta.Time..s..2","BW.90...Hz..2","Freq.5...Hz..2","Freq.95...Hz..2","Begin.Time..s..2","End.Time..s..2","Delta.Time..s..3","BW.90...Hz..3","Freq.5...Hz..3","Freq.95...Hz..3","Begin.Time..s..3","End.Time..s..3","Delta.Time..s..4","BW.90...Hz..4","Freq.5...Hz..4","Freq.95...Hz..4","Begin.Time..s..4","End.Time..s..4","Delta.Time..s..5","BW.90...Hz..5","Freq.5...Hz..5","Freq.95...Hz..5","Begin.Time..s..5","End.Time..s..5","Delta.Time..s..6","BW.90...Hz..6","Freq.5...Hz..6","Freq.95...Hz..6","Begin.Time..s..6","End.Time..s..6","note.dur.comb","rest.dur.comb","intro.dur","trill.dur","great.call.dur","unlist.trill.rate.list.","site"
"202",12739,"DV_12_009","DV_12","DV_12_009.06",6,0.882,129.2,689.1,818.3,0.049,0.931,0.955,107.7,689.1,796.7,1.041,1.996,0.749,236.9,710.6,947.5,2.287,3.036,0.598,323,732.1,1055.1,3.233,3.831,0.514,366.1,732.1,1098.2,3.918,4.432,0.29,409.1,732.1,1141.3,4.603,4.894,3.988,0.857,5.419,5.165,10.584,7.92236086353734,"DV"
"203",12787,"DV_12_009","DV_12","DV_12_009.07",7,0.778,150.7,710.6,861.3,0.063,0.841,0.72,129.2,710.6,839.8,1.12,1.84,0.836,215.3,710.6,925.9,2.096,2.932,0.656,387.6,710.6,1098.2,3.175,3.831,0.395,323,732.1,1055.1,4.093,4.487,0.37,624.5,732.1,1356.6,4.617,4.987,3.755,1.169,5.765,4.803,10.568,9.55414012738854,"DV"
"204",12841,"DV_12_009","DV_12","DV_12_009.08",8,0.766,129.2,689.1,818.3,0.186,0.952,0.749,172.3,710.6,882.9,1.225,1.974,0.592,301.5,732.1,1033.6,2.229,2.821,0.418,344.5,732.1,1076.7,3.036,3.454,0.331,452.2,732.1,1184.3,3.634,3.965,0.215,559.9,732.1,1292,4.104,4.319,3.071,1.062,4.429,5.091,9.52,9.21474358974359,"DV"
"205",12894,"DV_12_009","DV_12","DV_12_009.09",9,0.697,129.2,710.6,839.8,0.11,0.807,0.819,129.2,710.6,839.8,1.045,1.863,0.743,107.7,710.6,818.3,2.09,2.833,0.563,323,732.1,1055.1,3.065,3.628,0.401,387.6,732.1,1119.7,3.831,4.232,0.25,516.8,732.1,1248.9,4.406,4.656,3.473,1.073,4.859,5.554,10.413,8.99247568361167,"DV"
"206",12950,"DV_12_009","DV_12","DV_12_009.10",10,0.708,150.7,689.1,839.8,0.139,0.848,0.766,129.2,689.1,818.3,1.155,1.921,0.737,236.9,710.6,947.5,2.235,2.972,0.598,236.9,710.6,947.5,3.199,3.796,0.366,430.7,732.1,1162.8,3.971,4.336,0.232,559.9,732.1,1292,4.51,4.743,3.407,1.197,4.906,5.282,10.188,9.2485549132948,"DV"
"207",13005,"DV_12_009","DV_12","DV_12_009.11",11,0.639,107.7,710.6,818.3,0.157,0.795,0.834,129.2,689.1,818.3,1.062,1.896,0.726,129.2,710.6,839.8,2.148,2.873,0.557,172.3,710.6,882.9,3.158,3.715,0.377,279.9,732.1,1012.1,3.965,4.342,0.29,366.1,732.1,1098.2,4.534,4.824,3.423,1.244,5.288,4.899,10.187,9.16666666666667,"DV"
"208",13057,"DV_12_009","DV_12","DV_12_009.12",12,0.731,172.3,710.6,882.9,0.116,0.848,0.743,172.3,710.6,882.9,1.097,1.84,0.604,236.9,710.6,947.5,2.107,2.711,0.464,301.5,732.1,1033.6,2.966,3.431,0.319,366.1,732.1,1098.2,3.616,3.936,0.215,409.1,732.1,1141.3,4.081,4.296,3.076,1.104,4.487,5.291,9.778,9.06286155032781,"DV"
"209",13111,"DV_12_009","DV_12","DV_12_009.13",13,0.749,129.2,710.6,839.8,0.134,0.882,0.766,150.7,710.6,861.3,1.155,1.921,0.697,279.9,710.6,990.5,2.194,2.891,0.482,366.1,732.1,1098.2,3.117,3.599,0.337,452.2,732.1,1184.3,3.773,4.11,0.244,559.9,732.1,1292,4.278,4.522,3.275,1.113,4.673,4.864,9.537,9.42013816202638,"DV"
"210",13163,"DV_12_009","DV_12","DV_12_009.14",14,0.913,193.8,710.6,904.4,0.049,0.962,0.938,236.9,710.6,947.5,1.111,2.048,0.708,279.9,710.6,990.5,2.27,2.978,0.476,344.5,732.1,1076.7,3.175,3.651,0.313,387.6,753.7,1141.3,3.843,4.156,0.226,409.1,753.7,1162.8,4.342,4.569,3.574,0.945999999999999,4.839,5.995,10.834,9.37286980231766,"DV"
"211",13225,"DV_12_009","DV_12","DV_12_009.15",15,0.621,172.3,689.1,861.3,0.093,0.714,0.819,236.9,689.1,925.9,0.958,1.776,0.702,236.9,710.6,947.5,2.043,2.746,0.546,301.5,732.1,1033.6,3.007,3.553,0.383,323,732.1,1055.1,3.767,4.151,0.273,473.7,732.1,1205.9,4.331,4.603,3.344,1.166,5.369,4.621,9.99,9.66820479015601,"DV"
"212",13278,"DV_12_009","DV_12","DV_12_009.16",16,0.837,215.3,710.6,925.9,0.092,0.929,0.94,215.3,710.6,925.9,1.112,2.052,0.679,301.5,710.6,1012.1,2.258,2.937,0.511,323,732.1,1055.1,3.17,3.68,0.302,409.1,732.1,1141.3,3.889,4.191,0.221,430.7,732.1,1162.8,4.371,4.592,3.49,1.01,4.796,5.155,9.951,9.34765314240255,"DV"
"213",13332,"DV_12_009","DV_12","DV_12_009.17",17,0.708,193.8,710.6,904.4,0.151,0.859,0.714,193.8,710.6,904.4,1.178,1.892,0.621,193.8,710.6,904.4,2.136,2.757,0.441,323,732.1,1055.1,2.978,3.419,0.325,495.3,732.1,1227.4,3.605,3.93,0.238,538.3,753.7,1292,4.058,4.296,3.047,1.098,4.714,6.011,10.725,9.62187711006077,"DV"
"214",13397,"DV_12_009","DV_12","DV_12_009.18",18,0.708,107.7,689.1,796.7,0.18,0.888,0.956,129.2,689.1,818.3,1.085,2.041,0.644,301.5,710.6,1012.1,2.287,2.932,0.476,366.1,732.1,1098.2,3.152,3.628,0.283,430.7,732.1,1162.8,3.773,4.056,0.157,581.4,753.7,1335.1,4.22,4.378,3.224,0.974000000000001,4.73,4.955,9.685,9.82800982800983,"DV"
"215",13453,"DV_12_009","DV_12","DV_12_009.19",19,0.72,172.3,689.1,861.3,0.122,0.842,0.784,150.7,710.6,861.3,1.144,1.927,0.702,215.3,710.6,925.9,2.206,2.908,0.488,258.4,732.1,990.5,3.094,3.582,0.342,301.5,753.7,1055.1,3.738,4.081,0.232,366.1,753.7,1119.7,4.214,4.447,3.268,1.057,4.888,4.999,9.887,9.58987961640481,"DV"
"216",13508,"DV_12_009","DV_12","DV_12_009.20",20,0.766,172.3,710.6,882.9,0.134,0.9,0.76,193.8,689.1,882.9,1.173,1.933,0.72,279.9,710.6,990.5,2.217,2.937,0.551,279.9,732.1,1012.1,3.106,3.657,0.331,366.1,732.1,1098.2,3.802,4.133,0.25,409.1,732.1,1141.3,4.313,4.563,3.378,1.051,4.742,5.578,10.32,9.16422287390029,"DV"
"217",13565,"DV_12_009","DV_12","DV_12_009.21",21,0.854,172.3,689.1,861.3,0.047,0.902,0.902,172.3,710.6,882.9,1.115,2.017,0.737,193.8,710.6,904.4,2.183,2.92,0.505,215.3,732.1,947.5,3.111,3.616,0.331,323,732.1,1055.1,3.767,4.098,0.197,366.1,732.1,1098.2,4.249,4.447,3.526,0.874000000000001,4.725,4.94,9.665,9.53565505804312,"DV"
"218",13618,"DV_12_009","DV_12","DV_12_009.22",22,0.708,193.8,710.6,904.4,0.122,0.83,0.772,172.3,710.6,882.9,1.051,1.823,0.679,193.8,710.6,904.4,2.038,2.717,0.464,258.4,710.6,969,2.978,3.442,0.36,344.5,732.1,1076.7,3.68,4.04,0.296,495.3,732.1,1227.4,4.22,4.516,3.279,1.115,4.992,5.877,10.869,9.50899031811895,"DV"
"219",13681,"DV_12_009","DV_12","DV_12_009.23",23,0.714,107.7,732.1,839.8,0.163,0.877,0.755,150.7,710.6,861.3,1.138,1.892,0.644,258.4,710.6,969,2.177,2.821,0.395,430.7,732.1,1162.8,3.048,3.442,0.232,430.7,753.7,1184.3,3.622,3.855,0.168,452.2,753.7,1205.9,4.04,4.209,2.908,1.138,4.882,5.799,10.681,9.462064131768,"DV"
"220",13744,"DV_12_009","DV_12","DV_12_009.24",24,0.795,150.7,710.6,861.3,0.081,0.877,0.708,215.3,710.6,925.9,1.144,1.852,0.551,215.3,710.6,925.9,2.107,2.659,0.348,301.5,732.1,1033.6,2.885,3.233,0.267,409.1,732.1,1141.3,3.419,3.686,0.203,473.7,732.1,1205.9,3.814,4.017,2.872,1.064,4.197,5.347,9.544,9.72911102632583,"DV"
"221",13802,"DV_12_009","DV_12","DV_12_009.25",25,0.726,193.8,689.1,882.9,0.081,0.807,0.789,172.3,710.6,882.9,1.027,1.817,0.662,193.8,710.6,904.4,2.049,2.711,0.505,279.9,732.1,1012.1,2.984,3.489,0.354,409.1,732.1,1141.3,3.68,4.034,0.226,516.8,753.7,1270.5,4.168,4.394,3.262,1.051,4.598,5.095,9.693,9.23880297248444,"DV"
"222",13855,"DV_12_010","DV_12","DV_12_010.01",1,0.922,193.8,689.1,882.9,0.065,0.987,1.013,172.3,710.6,882.9,1.143,2.157,0.743,193.8,710.6,904.4,2.357,3.1,0.54,301.5,732.1,1033.6,3.332,3.872,0.494,323,732.1,1055.1,4.002,4.495,0.232,366.1,753.7,1119.7,4.638,4.87,3.944,0.861,5.444,5.839,11.283,9.57187608771319,"DV"
"223",13918,"DV_12_010","DV_12","DV_12_010.02",2,0.824,193.8,689.1,882.9,0.104,0.929,0.955,193.8,689.1,882.9,1.1,2.054,0.726,258.4,710.6,969,2.27,2.995,0.517,387.6,732.1,1119.7,3.187,3.704,0.337,495.3,732.1,1227.4,3.86,4.197,0.221,516.8,753.7,1270.5,4.383,4.603,3.58,0.919,4.807,5.359,10.166,9.36723379850889,"DV"
"224",13974,"DV_12_010","DV_12","DV_12_010.03",3,0.95,150.7,710.6,861.3,0.088,1.038,0.9,150.7,710.6,861.3,1.225,2.125,0.679,258.4,710.6,969,2.322,3.001,0.482,258.4,732.1,990.5,3.216,3.698,0.325,344.5,732.1,1076.7,3.895,4.22,0.232,452.2,753.7,1205.9,4.406,4.638,3.568,0.981999999999999,4.858,5.993,10.851,9.00900900900901,"DV"
"225",14034,"DV_12_010","DV_12","DV_12_010.04",4,0.772,193.8,710.6,904.4,0.145,0.917,0.662,301.5,710.6,1012.1,1.184,1.846,0.488,193.8,710.6,904.4,2.043,2.531,0.401,236.9,732.1,969,2.769,3.17,0.313,258.4,732.1,990.5,3.361,3.675,0.203,344.5,753.7,1098.2,3.831,4.034,2.839,1.05,4.156,6.183,10.339,9.54261270154656,"DV"
"226",14099,"DV_12_010","DV_12","DV_12_010.05",5,0.797,150.7,732.1,882.9,0.069,0.866,0.76,215.3,710.6,925.9,1.138,1.898,0.749,323,710.6,1033.6,2.154,2.902,0.551,366.1,732.1,1098.2,3.1,3.651,0.331,387.6,732.1,1119.7,3.82,4.151,0.226,516.8,732.1,1248.9,4.336,4.563,3.414,1.08,4.778,5.247,10.025,9.72384286269934,"DV"
"227",14156,"DV_12_010","DV_12","DV_12_010.06",6,0.761,215.3,689.1,904.4,0.042,0.803,0.835,193.8,710.6,904.4,1.004,1.839,0.645,409.1,710.6,1119.7,1.966,2.611,0.528,430.7,732.1,1162.8,2.759,3.287,0.322,452.2,753.7,1205.9,3.446,3.767,0.145,452.2,753.7,1205.9,3.878,4.023,3.236,0.745,3.981,5.238,9.219,9.21749362620122,"DV"
"228",14209,"DV_12_010","DV_12","DV_12_010.07",7,0.732,172.3,689.1,861.3,0.078,0.81,0.777,193.8,689.1,882.9,0.999,1.776,0.755,366.1,710.6,1076.7,1.975,2.73,0.499,409.1,732.1,1141.3,2.874,3.374,0.444,516.8,732.1,1248.9,3.507,3.951,0.285,538.3,732.1,1270.5,4.039,4.325,3.492,0.755,4.827,4.783,9.61,9.85643882579816,"DV"
"229",14263,"DV_13_009","DV_13","DV_13_009.01",1,1.138,279.9,559.9,839.8,0.06,1.198,1.198,150.7,581.4,732.1,1.423,2.621,0.944,258.4,581.4,839.8,2.845,3.789,0.493,301.5,624.5,925.9,4.11,4.603,0.342,301.5,646,947.5,4.836,5.178,0.313,495.3,667.5,1162.8,5.404,5.718,4.428,1.23,6.296,6.779,13.075,7.71558245083207,"DV"
"230",14322,"DV_13_009","DV_13","DV_13_009.02",2,1.004,172.3,559.9,732.1,0.18,1.184,1.231,150.7,581.4,732.1,1.433,2.664,0.72,215.3,602.9,818.3,2.972,3.692,0.47,301.5,624.5,925.9,3.942,4.412,0.36,279.9,646,925.9,4.65,5.01,0.244,279.9,667.5,947.5,5.195,5.439,4.029,1.23,5.991,6.531,12.522,7.70803838288501,"DV"
"231",14379,"DV_13_009","DV_13","DV_13_009.03",3,1.068,129.2,559.9,689.1,0.145,1.213,1.086,150.7,581.4,732.1,1.477,2.563,0.691,129.2,602.9,732.1,2.856,3.547,0.453,215.3,624.5,839.8,3.802,4.255,0.313,236.9,646,882.9,4.464,4.777,0.265,344.5,646,990.5,4.963,5.228,3.876,1.207,6.043,6.513,12.556,7.94392523364486,"DV"
"232",14439,"DV_13_010","DV_13","DV_13_010.01",1,1.213,86.1,559.9,646,0.145,1.358,1.045,86.1,581.4,667.5,1.689,2.734,0.726,107.7,581.4,689.1,3.042,3.767,0.435,323,602.9,925.9,4.017,4.452,0.331,430.7,624.5,1055.1,4.685,5.015,0.238,559.9,646,1205.9,5.207,5.445,3.988,1.312,5.637,7.696,13.333,8.09662861693655,"DV"
"233",14507,"DV_13_010","DV_13","DV_13_010.02",2,1.178,107.7,559.9,667.5,0.197,1.376,1.115,107.7,559.9,667.5,1.695,2.81,0.656,86.1,581.4,667.5,3.14,3.796,0.406,236.9,624.5,861.3,4.087,4.493,0.325,258.4,646,904.4,4.719,5.045,0.215,236.9,646,882.9,5.195,5.41,3.895,1.318,5.858,7.25,13.108,8.27025511634427,"DV"
"234",14574,"DV_13_010","DV_13","DV_13_010.03",3,1.126,86.1,559.9,646,0.151,1.277,1.01,107.7,559.9,667.5,1.631,2.641,0.714,107.7,581.4,689.1,2.972,3.686,0.389,193.8,602.9,796.7,3.936,4.325,0.296,344.5,624.5,969,4.58,4.876,0.215,581.4,646,1227.4,5.074,5.288,3.75,1.387,5.764,6.3,12.064,8.07884957182097,"DV"
"235",14632,"DV_13_010","DV_13","DV_13_010.04",4,0.952,107.7,559.9,667.5,0.18,1.132,1.086,107.7,559.9,667.5,1.44,2.525,0.795,129.2,581.4,710.6,2.804,3.599,0.459,258.4,602.9,861.3,3.831,4.29,0.331,430.7,646,1076.7,4.522,4.853,0.235,559.9,667.5,1227.4,5.007,5.242,3.858,1.204,5.666,7.048,12.714,8.48920863309353,"DV"
"236",14699,"DV_13_010","DV_13","DV_13_010.05",5,0.962,129.2,559.9,689.1,0.125,1.087,1.155,107.7,559.9,667.5,1.393,2.548,0.813,107.7,581.4,689.1,2.839,3.651,0.464,409.1,602.9,1012.1,3.889,4.354,0.302,516.8,624.5,1141.3,4.586,4.888,0.261,559.9,646,1205.9,5.079,5.341,3.957,1.259,5.866,6.709,12.575,8.03151992726171,"DV"
"237",14760,"DV_13_010","DV_13","DV_13_010.06",6,0.952,129.2,559.9,689.1,0.18,1.132,1.022,150.7,559.9,710.6,1.44,2.461,0.743,193.8,581.4,775.2,2.757,3.5,0.43,258.4,602.9,861.3,3.756,4.185,0.319,301.5,624.5,925.9,4.429,4.748,0.232,366.1,646,1012.1,4.946,5.178,3.698,1.3,5.648,6.366,12.014,8.16784112748238,"DV"
"238",14819,"DV_13_010","DV_13","DV_13_010.07",7,1.166,258.4,559.9,818.3,0.138,1.305,1.105,150.7,559.9,710.6,1.535,2.64,0.721,215.3,581.4,796.7,2.931,3.653,0.614,279.9,602.9,882.9,3.806,4.42,0.313,279.9,624.5,904.4,4.545,4.859,0.215,150.7,667.5,818.3,5.015,5.23,4.134,0.958,6.218,6.169,12.387,7.84736113248192,"DV"
"239",14879,"DV_13_010","DV_13","DV_13_010.08",8,1.081,258.4,559.9,818.3,0.075,1.156,1.156,236.9,559.9,796.7,1.426,2.581,0.78,279.9,581.4,861.3,2.837,3.617,0.525,301.5,624.5,925.9,3.797,4.322,0.313,323,646,969,4.539,4.853,0.221,538.3,646,1184.3,5.027,5.248,4.076,1.097,5.893,6.097,11.99,7.85821768934961,"DV"
"240",14934,"DV_13_010","DV_13","DV_13_010.09",9,1.046,107.7,559.9,667.5,0.065,1.111,1.225,86.1,559.9,646,1.291,2.516,0.824,129.2,581.4,710.6,2.827,3.651,0.447,129.2,602.9,732.1,3.947,4.394,0.342,344.5,624.5,969,4.661,5.004,0.221,538.3,646,1184.3,5.195,5.416,4.105,1.246,5.723,7.803,13.526,8.12049770792403,"DV"
"241",15003,"DV_13_010","DV_13","DV_13_010.10",10,1.1,172.3,559.9,732.1,0.151,1.25,1.16,172.3,559.9,732.1,1.491,2.651,0.673,172.3,581.4,753.7,2.966,3.64,0.47,129.2,624.5,753.7,3.878,4.348,0.313,172.3,624.5,796.7,4.534,4.847,0.244,193.8,646,839.8,5.015,5.259,3.96,1.148,6.084,6.774,12.858,8.24587706146927,"DV"
"242",15067,"DV_15_013","DV_15","DV_15_013.01",1,0.766,215.3,602.9,818.3,0.145,0.911,0.946,193.8,624.5,818.3,1.066,2.011,0.737,129.2,667.5,796.7,2.247,2.984,0.505,107.7,667.5,775.2,3.245,3.75,0.395,107.7,689.1,796.7,3.976,4.371,0.296,129.2,689.1,818.3,4.598,4.894,3.645,1.104,5.823,8.247,14.07,8.6143243908442,"DV"
"243",15146,"DV_15_013","DV_15","DV_15_013.02",2,0.633,129.2,624.5,753.7,0.139,0.772,0.702,129.2,624.5,753.7,1.051,1.753,0.668,172.3,646,818.3,2.101,2.769,0.517,215.3,646,861.3,3.077,3.593,0.372,215.3,667.5,882.9,3.895,4.267,0.325,258.4,667.5,925.9,4.522,4.847,3.217,1.491,6.235,8.969,15.204,8.25698450401538,"DV"
"244",15229,"DV_15_013","DV_15","DV_15_013.03",3,0.61,172.3,624.5,796.7,0.139,0.749,0.72,172.3,646,818.3,1.045,1.765,0.673,150.7,646,796.7,2.078,2.752,0.586,172.3,646,818.3,3.065,3.651,0.377,172.3,667.5,839.8,3.884,4.261,0.366,236.9,667.5,904.4,4.476,4.841,3.332,1.37,6.159,6.716,12.875,8.14602504148439,"DV"
"245",15293,"DV_15_013","DV_15","DV_15_013.04",4,0.673,107.7,624.5,732.1,0.11,0.784,0.789,129.2,624.5,753.7,0.993,1.782,0.714,150.7,624.5,775.2,2.043,2.757,0.58,150.7,646,796.7,3.03,3.611,0.464,107.7,667.5,775.2,3.872,4.336,0.366,172.3,667.5,839.8,4.534,4.899,3.586,1.203,6.328,8.367,14.695,8.25844061209619,"DV"
"246",15371,"DV_15_013","DV_15","DV_15_013.05",5,0.713,236.9,624.5,861.3,0.107,0.82,0.743,215.3,624.5,839.8,1.056,1.8,0.679,150.7,646,796.7,2.119,2.798,0.522,215.3,646,861.3,3.088,3.611,0.389,236.9,667.5,904.4,3.849,4.238,0.273,215.3,689.1,904.4,4.47,4.743,3.319,1.317,6.261,9.23,15.491,8.61880864062841,"DV"
"247",15461,"DV_15_013","DV_15","DV_15_013.06",6,0.644,129.2,624.5,753.7,0.192,0.836,0.784,172.3,624.5,796.7,1.039,1.823,0.801,129.2,624.5,753.7,2.072,2.873,0.65,86.1,646,732.1,3.152,3.802,0.476,107.7,667.5,775.2,4.058,4.534,0.372,215.3,667.5,882.9,4.748,5.12,3.727,1.201,6.78,8.376,15.156,8.45104430761801,"DV"
"248",15542,"DV_15_013","DV_15","DV_15_013.07",7,0.801,129.2,624.5,753.7,0.041,0.842,0.778,150.7,624.5,775.2,1.068,1.846,0.639,129.2,646,775.2,2.258,2.897,0.598,150.7,646,796.7,3.222,3.82,0.482,172.3,646,818.3,4.04,4.522,0.372,236.9,667.5,904.4,4.754,5.126,3.67,1.415,6.675,8.988,15.663,8.5614509406331,"DV"
"249",15628,"DV_15_013","DV_15","DV_15_013.08",8,0.691,150.7,624.5,775.2,0.209,0.9,0.868,172.3,624.5,796.7,1.144,2.011,0.772,129.2,646,775.2,2.229,3.001,0.789,172.3,646,818.3,3.174,3.963,0.459,129.2,667.5,796.7,4.127,4.586,0.337,129.2,667.5,796.7,4.777,5.114,3.916,0.989,6.827,8.288,15.115,8.43108504398827,"DV"
"250",15708,"DV_16_009","DV_16","DV_16_009.01",1,1.109,129.2,646,775.2,0.25,1.358,0.935,107.7,646,753.7,1.689,2.624,0.65,107.7,667.5,775.2,2.949,3.599,0.43,129.2,689.1,818.3,3.907,4.336,0.331,172.3,689.1,861.3,4.58,4.911,0.238,193.8,710.6,904.4,5.103,5.341,3.693,1.398,5.683,7.498,13.181,9.18298446995274,"DV"
"251",15784,"DV_16_009","DV_16","DV_16_009.02",2,1.204,129.2,646,775.2,0.152,1.357,0.969,129.2,646,775.2,1.625,2.595,0.673,107.7,667.5,775.2,2.926,3.599,0.447,107.7,689.1,796.7,3.889,4.336,0.337,172.3,689.1,861.3,4.539,4.876,0.221,172.3,710.6,882.9,5.033,5.254,3.851,1.251,5.427,7.383,12.81,9.4871442320913,"DV"
"252",15860,"DV_16_009","DV_16","DV_16_009.03",3,1.086,86.1,646,732.1,0.192,1.277,1.033,107.7,646,753.7,1.602,2.635,0.586,86.1,667.5,753.7,2.868,3.454,0.482,215.3,689.1,904.4,3.75,4.232,0.348,344.5,689.1,1033.6,4.429,4.777,0.25,387.6,710.6,1098.2,4.928,5.178,3.785,1.201,5.282,7.416,12.698,9.33040614709111,"DV"
"253",15935,"DV_16_009","DV_16","DV_16_009.04",4,1.161,107.7,646,753.7,0.308,1.469,1.059,172.3,646,818.3,1.74,2.8,0.787,301.5,667.5,969,2.996,3.783,0.424,193.8,689.1,882.9,4.058,4.481,0.319,301.5,689.1,990.5,4.702,5.021,0.226,323,710.6,1033.6,5.224,5.451,3.976,1.167,5.474,7.561,13.035,8.84362856760016,"DV"
"254",16008,"DV_16_009","DV_16","DV_16_009.05",5,1.196,86.1,646,732.1,0.232,1.428,0.969,107.7,646,753.7,1.689,2.659,0.726,86.1,667.5,753.7,2.955,3.68,0.47,129.2,667.5,796.7,3.924,4.394,0.337,215.3,710.6,925.9,4.58,4.917,0.25,279.9,689.1,969,5.103,5.352,3.948,1.172,5.77,8.344,14.114,9.45339958792873,"DV"
"255",16094,"DV_16_009","DV_16","DV_16_009.06",6,1.132,107.7,646,753.7,0.209,1.341,0.929,107.7,646,753.7,1.666,2.595,0.575,193.8,667.5,861.3,2.873,3.448,0.424,215.3,689.1,904.4,3.704,4.127,0.284,215.3,710.6,925.9,4.307,4.592,0.267,236.9,710.6,947.5,4.772,5.039,3.611,1.219,5.062,9.224,14.286,9.88793671720501,"DV"
"256",16191,"DV_16_009","DV_16","DV_16_009.07",7,1.202,107.7,646,753.7,0.203,1.405,1.033,107.7,646,753.7,1.73,2.763,0.679,193.8,667.5,861.3,3.048,3.727,0.435,236.9,689.1,925.9,3.965,4.4,0.348,279.9,689.1,969,4.621,4.969,0.221,344.5,710.6,1055.1,5.12,5.341,3.918,1.22,5.706,6.986,12.692,9.83227299016773,"DV"
"257",16267,"DV_16_009","DV_16","DV_16_009.08",8,1.207,86.1,646,732.1,0.232,1.44,0.964,86.1,646,732.1,1.718,2.682,0.58,129.2,667.5,796.7,2.961,3.541,0.354,258.4,689.1,947.5,3.756,4.11,0.261,279.9,710.6,990.5,4.296,4.557,0.209,301.5,710.6,1012.1,4.719,4.928,3.575,1.121,4.992,7.006,11.998,9.56383132879293,"DV"
"258",16340,"DV_16_009","DV_16","DV_16_009.09",9,1.225,215.3,646,861.3,0.232,1.457,0.94,150.7,646,796.7,1.724,2.664,0.668,150.7,667.5,818.3,2.949,3.616,0.412,215.3,689.1,904.4,3.831,4.243,0.29,236.9,689.1,925.9,4.435,4.725,0.221,258.4,710.6,969,4.882,5.103,3.756,1.115,5.416,7.129,12.545,9.77475563110922,"DV"
"259",16417,"DV_16_009","DV_16","DV_16_009.10",10,1.161,129.2,646,775.2,0.186,1.347,1.094,129.2,646,775.2,1.597,2.691,0.673,107.7,667.5,775.2,2.943,3.616,0.488,129.2,667.5,796.7,3.86,4.348,0.36,129.2,689.1,818.3,4.551,4.911,0.302,215.3,710.6,925.9,5.091,5.393,4.078,1.129,5.816,6.27,12.086,9.59661678594665,"DV"
"260",16484,"DV_16_009","DV_16","DV_16_009.11",11,1.196,172.3,646,818.3,0.215,1.411,0.958,172.3,646,818.3,1.672,2.63,0.575,215.3,667.5,882.9,2.932,3.506,0.395,236.9,689.1,925.9,3.756,4.151,0.284,258.4,710.6,969,4.342,4.627,0.203,279.9,732.1,1012.1,4.801,5.004,3.611,1.178,5.073,6.411,11.484,9.67332699016809,"DV"
"261",16552,"DV_16_009","DV_16","DV_16_009.12",12,1.19,172.3,646,818.3,0.238,1.428,0.894,129.2,646,775.2,1.695,2.589,0.644,236.9,667.5,904.4,2.885,3.529,0.476,301.5,667.5,969,3.756,4.232,0.424,323,689.1,1012.1,4.36,4.783,0.342,279.9,689.1,969,4.957,5.3,3.97,1.092,5.805,6.146,11.951,9.53496152559384,"DV"
"262",16617,"DV_17_012","DV_17","DV_17_012.01",1,0.941,215.3,602.9,818.3,0.103,1.044,0.683,193.8,624.5,818.3,1.186,1.869,0.606,172.3,646,818.3,1.998,2.604,0.49,301.5,646,947.5,2.694,3.184,0.335,409.1,646,1055.1,3.235,3.57,0.191,516.8,646,1162.8,3.669,3.861,3.246,0.512,4.027,6.385,10.412,8.43277645186953,"DV"
"263",16677,"DV_17_012","DV_17","DV_17_012.02",2,0.983,236.9,581.4,818.3,0.105,1.088,0.569,258.4,624.5,882.9,1.451,2.02,0.482,215.3,646,861.3,2.276,2.757,0.348,258.4,646,904.4,2.972,3.32,0.267,366.1,667.5,1033.6,3.495,3.762,0.18,452.2,667.5,1119.7,3.918,4.098,2.829,1.164,4.255,6.444,10.699,8.05178402273445,"DV"
"264",16735,"DV_17_012","DV_17","DV_17_012.03",3,0.87,172.3,581.4,753.7,0.086,0.956,0.856,193.8,602.9,796.7,1.127,1.983,0.569,172.3,624.5,796.7,2.165,2.734,0.424,172.3,646,818.3,2.937,3.361,0.302,236.9,646,882.9,3.541,3.843,0.273,387.6,646,1033.6,4,4.272,3.294,0.892,4.413,7.178,11.591,8.22695035460993,"DV"
"265",16800,"DV_17_012","DV_17","DV_17_012.04",4,0.905,344.5,581.4,925.9,0.127,1.032,0.639,344.5,602.9,947.5,1.358,1.997,0.534,387.6,624.5,1012.1,2.27,2.804,0.383,430.7,646,1076.7,3.036,3.419,0.232,473.7,667.5,1141.3,3.611,3.843,0.197,473.7,689.1,1162.8,4.023,4.22,2.89,1.203,4.36,6.635,10.995,8.31408775981524,"DV"
"266",16861,"DV_17_012","DV_17","DV_17_012.05",5,0.938,172.3,602.9,775.2,0.095,1.033,0.788,193.8,624.5,818.3,1.183,1.971,0.505,236.9,624.5,861.3,2.264,2.769,0.389,236.9,646,882.9,3.03,3.419,0.296,258.4,667.5,925.9,3.634,3.93,0.25,430.7,667.5,1098.2,4.122,4.371,3.166,1.11,4.555,6.399,10.954,8.29081632653061,"DV"
