"","X","grp.recording","group","great.call","recording","Delta.Time..s..1","BW.90...Hz..1","Freq.5...Hz..1","Freq.95...Hz..1","Begin.Time..s..1","End.Time..s..1","Delta.Time..s..2","BW.90...Hz..2","Freq.5...Hz..2","Freq.95...Hz..2","Begin.Time..s..2","End.Time..s..2","Delta.Time..s..3","BW.90...Hz..3","Freq.5...Hz..3","Freq.95...Hz..3","Begin.Time..s..3","End.Time..s..3","Delta.Time..s..4","BW.90...Hz..4","Freq.5...Hz..4","Freq.95...Hz..4","Begin.Time..s..4","End.Time..s..4","Delta.Time..s..5","BW.90...Hz..5","Freq.5...Hz..5","Freq.95...Hz..5","Begin.Time..s..5","End.Time..s..5","Delta.Time..s..6","BW.90...Hz..6","Freq.5...Hz..6","Freq.95...Hz..6","Begin.Time..s..6","End.Time..s..6","note.dur.comb","rest.dur.comb","intro.dur","trill.dur","great.call.dur","unlist.trill.rate.list.","site"
"109",6573,"DK_11_030","DK_11","DK_11_030.09",9,0.77,236.9,538.3,775.2,0.101,0.871,1.054,193.8,559.9,753.7,0.952,2.006,0.72,150.7,559.9,710.6,2.171,2.891,0.65,129.2,559.9,689.1,3.204,3.855,0.551,150.7,559.9,710.6,4.18,4.731,0.435,236.9,581.4,818.3,5.045,5.48,4.18,1.199,6.917,10.442,17.359,7.24435775982168,"DK"
"110",6660,"DK_11_030","DK_11","DK_11_030.10",10,0.528,129.2,516.8,646,0.29,0.818,0.72,129.2,559.9,689.1,1.109,1.829,0.802,129.2,559.9,689.1,1.943,2.745,0.72,107.7,581.4,689.1,3.048,3.767,0.731,107.7,581.4,689.1,3.904,4.634,0.659,129.2,581.4,710.6,4.741,5.401,4.16,0.951000000000001,6.914,7.899,14.813,7.60897601238071,"DK"
"111",6729,"DK_11_030","DK_11","DK_11_030.11",11,0.758,172.3,516.8,689.1,0.166,0.924,0.85,129.2,559.9,689.1,1.09,1.94,0.668,107.7,581.4,689.1,2.212,2.879,0.662,86.1,581.4,667.5,3.199,3.86,0.534,107.7,581.4,689.1,4.11,4.644,0.406,150.7,581.4,732.1,4.899,5.306,3.878,1.262,6.359,9.426,15.785,7.65498652291105,"DK"
"112",6809,"DK_11_030","DK_11","DK_11_030.12",12,0.656,129.2,538.3,667.5,0.203,0.859,0.691,107.7,559.9,667.5,1.103,1.794,0.714,107.7,581.4,689.1,2.084,2.798,0.662,107.7,559.9,667.5,3.077,3.738,0.493,107.7,581.4,689.1,4.029,4.522,0.435,172.3,581.4,753.7,4.777,5.213,3.651,1.359,6.746,9.613,16.359,7.39332488381918,"DK"
"113",6889,"DK_11_030","DK_11","DK_11_030.13",13,0.569,86.1,538.3,624.5,0.197,0.766,0.691,150.7,538.3,689.1,1.051,1.741,0.644,107.7,559.9,667.5,2.026,2.67,0.679,86.1,581.4,667.5,3.007,3.686,0.743,107.7,581.4,689.1,3.851,4.594,0.395,107.7,581.4,689.1,4.818,5.213,3.721,1.295,6.45,10.012,16.462,7.61421319796955,"DK"
"114",6973,"DK_11_030","DK_11","DK_11_030.14",14,0.61,129.2,538.3,667.5,0.203,0.813,0.869,107.7,559.9,667.5,1.001,1.87,0.743,107.7,559.9,667.5,2.119,2.862,0.656,107.7,559.9,667.5,3.135,3.791,0.459,86.1,581.4,667.5,4.11,4.569,0.43,129.2,581.4,710.6,4.876,5.306,3.767,1.336,6.612,9.591,16.203,7.81497518217341,"DK"
"115",7057,"DK_12_032","DK_12","DK_12_032.01",1,0.967,258.4,624.5,882.9,0.104,1.07,0.898,279.9,646,925.9,1.243,2.14,0.699,323,646,969,2.201,2.9,0.527,323,667.5,990.5,3.072,3.599,0.552,387.6,667.5,1055.1,3.797,4.35,0.509,452.2,667.5,1119.7,4.514,5.023,4.152,0.766999999999999,5.8,8.809,14.609,7.70487975717955,"DK"
"116",7131,"DK_12_032","DK_12","DK_12_032.02",2,0.534,258.4,646,904.4,0.094,0.628,0.847,279.9,646,925.9,0.769,1.616,0.738,279.9,667.5,947.5,1.836,2.574,0.643,323,667.5,990.5,2.762,3.405,0.659,387.6,667.5,1055.1,3.578,4.237,0.366,409.1,689.1,1098.2,4.423,4.789,3.787,0.908,5.624,7.709,13.333,7.69128762763559,"DK"
"117",7197,"DK_12_032","DK_12","DK_12_032.03",3,0.785,236.9,646,882.9,0.104,0.889,0.741,301.5,646,947.5,1.081,1.822,0.667,452.2,667.5,1119.7,1.97,2.637,0.607,495.3,667.5,1162.8,2.8,3.407,0.489,538.3,689.1,1227.4,3.526,4.015,0.203,646,710.6,1356.6,4.232,4.435,3.492,0.839,4.703,7.227,11.93,7.77165465592765,"DK"
"119",7317,"DK_12_032","DK_12","DK_12_032.05",5,0.354,301.5,646,947.5,0.209,0.563,0.639,301.5,646,947.5,0.842,1.48,0.534,323,646,969,1.823,2.357,0.459,301.5,667.5,969,2.717,3.175,0.337,387.6,667.5,1055.1,3.553,3.889,0.244,495.3,667.5,1162.8,4.203,4.447,2.567,1.671,5.045,6.333,11.378,7.62368207623682,"DK"
"120",7372,"DK_12_032","DK_12","DK_12_032.06",6,0.472,258.4,646,904.4,0.109,0.58,0.721,236.9,646,882.9,0.804,1.525,0.654,301.5,646,947.5,1.743,2.397,0.536,366.1,646,1012.1,2.604,3.14,0.459,409.1,667.5,1076.7,3.372,3.831,0.349,495.3,667.5,1162.8,4.051,4.4,3.191,1.1,5.098,7.238,12.336,7.64439411098528,"DK"
"121",7434,"DK_12_032","DK_12","DK_12_032.07",7,0.6,215.3,646,861.3,0.09,0.69,0.699,279.9,624.5,904.4,0.828,1.527,0.735,301.5,646,947.5,1.726,2.461,0.588,344.5,667.5,1012.1,2.611,3.199,0.461,452.2,667.5,1119.7,3.451,3.913,0.415,559.9,667.5,1227.4,4.171,4.586,3.498,0.998000000000001,5.436,7.25,12.686,7.36752621139133,"DK"
"122",7494,"DK_12_032","DK_12","DK_12_032.08",8,0.431,452.2,646,1098.2,0.057,0.488,0.733,323,646,969,0.632,1.365,0.675,387.6,646,1033.6,1.523,2.198,0.499,430.7,646,1076.7,2.537,3.036,0.383,430.7,667.5,1098.2,3.344,3.727,0.396,602.9,667.5,1270.5,3.937,4.333,3.117,1.159,4.738,7.364,12.102,7.32085034492468,"DK"
"123",7553,"DK_12_032","DK_12","DK_12_032.09",9,0.406,323,624.5,947.5,0.163,0.569,0.575,279.9,624.5,904.4,0.818,1.393,0.742,323,646,969,1.588,2.33,0.712,344.5,646,990.5,2.463,3.175,0.348,344.5,667.5,1012.1,3.495,3.843,0.418,473.7,667.5,1141.3,4.151,4.569,3.201,1.205,5.648,6.849,12.497,7.56115641215715,"DK"
"124",7613,"DK_12_032","DK_12","DK_12_032.10",10,0.616,323,646,969,0.086,0.702,0.787,323,646,969,0.816,1.603,0.616,366.1,646,1012.1,1.775,2.391,0.587,430.7,667.5,1098.2,2.62,3.207,0.487,495.3,667.5,1162.8,3.336,3.822,0.458,516.8,689.1,1205.9,3.966,4.424,3.551,0.787,4.657,7.386,12.043,7.5292805354155,"DK"
"125",7674,"DK_12_032","DK_12","DK_12_032.11",11,0.65,172.3,624.5,796.7,0.134,0.784,0.681,258.4,646,904.4,1.059,1.739,0.665,323,646,969,1.921,2.586,0.59,452.2,667.5,1119.7,2.707,3.297,0.411,538.3,667.5,1205.9,3.478,3.889,0.327,559.9,689.1,1248.9,4.114,4.441,3.324,0.983,5.096,7.219,12.315,7.54878222475431,"DK"
"126",7735,"DK_12_032","DK_12","DK_12_032.12",12,0.389,258.4,646,904.4,0.25,0.639,0.551,236.9,646,882.9,0.981,1.533,0.488,301.5,646,947.5,1.858,2.345,0.54,516.8,667.5,1184.3,2.67,3.21,0.366,624.5,667.5,1292,3.448,3.814,0.255,689.1,689.1,1378.1,4.081,4.336,2.589,1.497,4.504,6.901,11.405,7.4393691414968,"DK"
"127",7792,"DK_12_032","DK_12","DK_12_032.13",13,0.54,129.2,624.5,753.7,0.192,0.731,0.61,129.2,624.5,753.7,1.033,1.643,0.719,344.5,646,990.5,1.89,2.609,0.441,366.1,646,1012.1,2.862,3.303,0.609,366.1,667.5,1033.6,3.499,4.109,0.296,409.1,667.5,1076.7,4.261,4.557,3.215,1.15,5.828,7.264,13.092,7.09308113489298,"DK"
"128",7857,"DV_01_017","DV_01","DV_01_017.01",1,0.743,107.7,581.4,689.1,0.163,0.906,0.908,279.9,624.5,904.4,1.282,2.191,0.695,344.5,646,990.5,2.338,3.032,0.508,430.7,667.5,1098.2,3.219,3.727,0.454,538.3,667.5,1205.9,3.874,4.328,0.23,710.6,689.1,1399.7,4.408,4.638,3.538,0.936999999999999,4.818,6.723,11.541,8.84011583600061,"DV"
"129",7922,"DV_01_017","DV_01","DV_01_017.02",2,0.853,193.8,602.9,796.7,0.232,1.086,0.819,193.8,646,839.8,1.382,2.2,0.604,258.4,646,904.4,2.45,3.053,0.453,279.9,667.5,947.5,3.297,3.75,0.308,473.7,667.5,1141.3,3.936,4.243,0.232,538.3,689.1,1227.4,4.429,4.661,3.269,1.16,4.795,7.682,12.477,9.01498077687923,"DV"
"130",7997,"DV_01_017","DV_01","DV_01_017.03",3,0.877,215.3,602.9,818.3,0.337,1.213,0.743,236.9,646,882.9,1.509,2.252,0.551,323,646,969,2.554,3.106,0.441,473.7,667.5,1141.3,3.378,3.82,0.296,559.9,689.1,1248.9,4.046,4.342,0.226,624.5,689.1,1313.5,4.539,4.766,3.134,1.295,5.091,7.551,12.642,9.00416610670609,"DV"
"131",8072,"DV_01_017","DV_01","DV_01_017.04",4,0.859,193.8,624.5,818.3,0.215,1.074,0.685,258.4,624.5,882.9,1.411,2.096,0.54,323,646,969,2.392,2.932,0.325,366.1,667.5,1033.6,3.199,3.524,0.244,387.6,689.1,1076.7,3.767,4.011,0.197,430.7,689.1,1119.7,4.243,4.441,2.85,1.376,4.562,6.966,11.528,8.95084372707263,"DV"
"132",8140,"DV_01_017","DV_01","DV_01_017.05",5,0.853,107.7,624.5,732.1,0.215,1.068,0.65,150.7,646,796.7,1.393,2.043,0.488,258.4,646,904.4,2.357,2.844,0.354,301.5,667.5,969,3.129,3.483,0.279,473.7,667.5,1141.3,3.727,4.005,0.203,452.2,689.1,1141.3,4.209,4.412,2.827,1.37,4.551,7.728,12.279,9.12698412698413,"DV"
"133",8216,"DV_01_017","DV_01","DV_01_017.06",6,1.023,215.3,602.9,818.3,0.076,1.1,0.84,279.9,624.5,904.4,1.314,2.154,0.522,236.9,646,882.9,2.409,2.932,0.418,344.5,667.5,1012.1,3.228,3.646,0.296,516.8,667.5,1184.3,3.872,4.168,0.174,559.9,689.1,1248.9,4.412,4.586,3.273,1.237,4.51,8.019,12.529,8.71348026652998,"DV"
